BL record ID;Title;Standardised title;Other titles;Composer;Composer life dates;Other names;Publication date (standardised);Country of publication;Place of publication;Publisher;Notes;Contents;Subject/genre terms;Voices;Titles madrigals
4468725;Il primo libro de madrigali a quatro voci;Madrigals. voices (4). book 1;;Lasso, Orlando di;1532-1594;"Amadino, Ricciardo [printer] ; Borghese, Marco Antonio, principe [former owner] ; Lockenburg, Johannes [composer] ; Nola, Gian Domenico del Giovane da [composer] ; Porta, Costanzo [composer] ; Roussel, François [composer] ; Vincenti, Giacomo [printer]";1584;Italy;In Venetia;Appresso Giacomo Vincenci & Ricciardo Amadino Compagni;"Transcription of colophon: In Venetia Appresso Giacomo Vincenci, & Ricciardo Amadino compagni, / M D LXXXIIII ; Collection of madrigals and canzoni in four parts (SATB) ; All four-part works except for some stanzas of ‘Sovra una verde riva’, which are in three parts ; With table of contents in alphabetical order, separating madrigals and canzoni ; Same contents as RISM B/I 1560/17, 1562/17, 1562/18, 1565/14, 1569/27, 1569/28, 1576/6, 1581/8, and 1582/10 ; Transcribed title page from canto part book: DI ORLANDO DI LASSVS / IL PRIMO LIBRO DE MADRIGALI A QVATRO VOCI / Nouamente con ogni diligentia ristampati. / IN VENETIA / 1584 ; Copy at A.338.e. Digitised score at http://purl.org/rism/BI/1584/8 ; Copy at A.338.e. Canto (16 leaves) Alto (16 leaves) Tenore (16 leaves) Basso (16 leaves); original foliation: Canto: [i], 1-13, 13, 15-30, [31] Alto: [i], 1-30, [31] Tenore: [i], 1-30, [31] Basso: [i], 1-13, 13, 15-30, [31]; paper dimensions: 152 x 205 mm";"Per pianto la mia carne si distilla / Orlando di Lassus -- Vivo sol di speranza rimembrando / Orlando di Lassus -- Giovane donna i vaghi’e dolc’accenti -- Queste non son piu lagrime / Orlando di Lassus -- Canzon d’Orlando. Del freddo Rheno alla sinistra riva (seconda stanza: Ch’il credera perche lo dica’il sole; terza stanza: Rottava et e pur ver di puro foco; quarta stanza: Si fe cristallo il fium’e’n tale stato; quinta stanza: Et io qual fui restai senza la voce; sesta & ultima stanza: Hor su la nuda terr’hora su l’herbe) / Orlando -- Appariran per me le stell’in cielo / Orlandi di Lassus -- Non vi vieto per questo ch’avrei torto / Orlando di Lassus -- Donna s’amor e’in voi summo desio / Giovanni Lochemburgo -- Quanto’il mio duol senza conforto sia / Orlando di Lassus -- Quel si grave dolore ch’io senti nell’accerba mia partita / Giovanni Lochemburgo -- Se vi fur’ & vi son’ & saran sempre (risposta: S’in voi puo dirsi’haver posto cortesi) / Giovanni Lochemburgo -- Donna gentil l’alma bellezza vostra / Giovanni Lochemburgo -- Quando da voi madonna son lontano / Giovan Dominico de Nola -- Perch’io veggio e mi spiace / Orlando di Lassus -- Vatene lieta homai coppia d’amici / Orlando di Lassus ; Canzon. Prima stanza. Sovra una verde riva (seconda stanza: Apri l’uscio per tempo) (terza stanza, a3: Valli vicini e rupi) (quarta stanza: Nascan herbett’et fiori) (quinta stanza, a3: In questo dì giocondo) (sesta stanza: Mentre per questi monti) (ultima stanza: Per cortesia canzon) / D’incerto -- Canzon. Prima parte. Giovane donna (seconda stanza: All’hor saranno i miei pensier) (terza stanza: Ma perche vola il tempo) (quarta stanza: Non fur giamai veduti) (quinta stanza: Itemo di cangiar) (sesta, & ult. stanza: Dentro pur foco) / Francesco Rosselli -- Se ben l’empia mia sorte / Orlando di Lassus -- Del mio navigar / Costanzo porta";Madrigals, Italian;4;
4468726;Il primo libro di madrigali a quattro voci;Madrigals. voices (4). libro 1;;Lasso, Orlando di;1532-1594;"Hoste, da Reggio [composer] ; Gardano, Angelo [printer] ; Lockenburg, Johannes [composer] ; Nola, Gian Domenico del Giovane da [composer] ; Porta, Costanzo [composer] ; Roussel, François [composer]";1592;Italy;"In Venetia ; Venice";Appresso Angelo Gardano;"Collection of madrigals and canzoni in four parts (SATB), with table of contents ('Tavolla delli madrigali') separating madrigals and canzoni. All four-part works, except for some stanzas of 'Sovra una verde riva', which are in three parts. 'Non vi vieto per questo', here assigned to Lassus, is elsewhere attributed to Hoste da Reggio ; Same contents as RISM B/I, 1560 ¹⁷ ; Transcribed title page from alto part book: DI ORLANDO DI LASSVS / IL PRIMO LIBRO DI MADRIGALI / A QVATTRO VOCI. / Nouamente con ogni diligenza Ristampati. / In Venetia Appresso Angelo Gardano. / M. D. LXXXXII ; Transcribed from bassus part book: Venetijs Apud Angelum Gardanum ; Copy at A.338.d. Digitised score at http://purl.org/rism/BI/1592/18 ; Copy at A.338.d. Alto (16 leaves), Basso (16 leaves); original pagination: Alto: [i], 1-30, [31], Basso: [i], 1-30, [31]; paper dimensions: 146 x 210 mm";Per pianto la mia carne (Seconda parte: Vivo sol di speranza) / Orlando di Lassus -- Queste non son piu lagrime / Orlando di Lassus -- Canzon (Prima stanza: Del freddo Rheno) (Seconda stanza: Ch’il crederà) (Terza stanza: Rottava & è pur ver) (Quarta stanza: Si fe cristallo al fiume) (Quitna (sic) stanza: Et io qual fui restai) (Sesta & ultima stanza: Hor su la nuda terra) / Orlando -- Appariran per me le stell’in cielo / Orlando di Lassus -- Non vi vieto per questo / Orlando di Lassus -- Donna s’amor é in voi / Giovanni Lochemburgo -- Quanto’l mio duol / Orlando di Lassus -- Quel si grave dolore / Giovanni Lochemburgo -- Se vi fur’& vi sono (Risposta) S’in voi puo dirsi / Giovanni Lochemburgo -- Donna gentil / Giovanni Lochemburgo -- Quando da voi Madonna / Gio. Dominico de Nola -- Perch’io veggio e mi spiace / Orlando di Lassus -- Vatene lieta homai / Orlando di Lassus -- Canzon. Prima stanza: Sovra unà verde riva (seconda stanza: Apri l’uscio per tempo) (terza stanza a3: Valli vicini e rupi) (quarta stanza: Nascan herbett’e fiori) (quinta stanza a3: In questo dì giocondo) (sesta stanza: Mentre per questi monti) (Per cortesia canzon) -- Canzon. Prima stanza: Giovane donna (seconda stanza: All’hor saran i mei pensieri) (terza stanza: Ma perche vola’l tempo) (quarta stanza: Non fur giammai veduti) (quinta stanza: I temo di cangiar) (sesta & ultima stanza: Dentro pur foco) / Francesco Roscelli -- Occhi piangete accompagnate il core -- Orlando di Lassus -- Se ben l’empia mia sorte / Orlando di Lassus -- O del mio navigar / Constantio Porta;Madrigals, Italian;4;
4468727;Di Orlando di Lassus il Primo Libro di Madrigali a cinque Voci, nouamente per Antonio Gardano ristampato. Cantus. (Altus.) (Tenor.) (Bassus.) (Quintus.);Madrigals;;Lasso, Orlando di;1532-1594;;1557;Italy;Venetia;Appresso di Antonio Gardano;;;;5;
4468728;Il secondo libro di madrigali a cinque voci;Madrigals. voices (5). book 2;;Lasso, Orlando di;1532-1594;"Animuccia, Paolo [composer] ; Barré, Antonio [composer] ; Gardane, Antonio [printer] ; Vidue, Hector [composer]";1559;Italy;"In Venetia ; Venice";Appresso di Antonio Gardano;"Collection of madrigals in five parts ; Previous edition: RISM B/I 1557/22 ; Transcribed title page from canto part book: DI ORLANDO DI LASSVS / IL SECONDO LIBRO DI MADRIGALI / A cinque Voci, Nouamente per Antonio Gardano stampato. / A CINQVE VOCI / In Venetia Apreßo di / Antonio Gardano. / 1559 ; With a table of contents in the Alto, Tenore and Quinto part books ; Copy at A.338.a. Digitised score at http://purl.org/rism/BI/1559/22 ; Copy at A.338.a. CANTO (12 leaves), ALTO (12 leaves), TENORE (12 leaves), BASSO (12 leaves), QVINTO (12 leaves); original pagination: Canto: [i-ii], 1-22, Alto: [i-ii], 1-22, Tenore: [i-ii], 1-22, Basso: [i-ii], 1-22, Quinto: [i-ii], 1-22; paper dimensions: 145 x 205 mm";CANZON. Standomi un giorno (seconda parte: Indi per alto mar) (terza parte: In un boschetto) (quarta parte: Chiara fontana) (quinta parte: Una strania Fenice) (sesta part: Al fin vidd’io) / Orlando di Lassus -- Mentre fioriv’amor (seconda parte: Cosi aspettando) / Orlando di lassus -- Vostro fui vostro son / Orlando di Lassus -- Quel chiaro sol (seconda parte: Che se la vers’) / Orlando di Lassus -- Quanto piu v’am’ogn hor (seconda parte: Nasca’in me dunq’ogn’hor nuovo desio) / Antonio Barre -- Evro gentil se d’amoroso ardore (seconda parte: Et in sembiante) / Orlando di lassus -- Volgi cor mio la tua speranza (seconda parte: Et a noi restara) / Orlando di lassus -- Ben si vedrà se la nemica mia / Hector Vidue -- Questi ch’inditio fan / Orlando di Lassus -- In dubbio di mio / Paulo Animuccia -- In qual parte del ciel (seconda parte: Per divina bellezza) / Orlando di Lassus -- Io son si stanco sotto il grave peso (seconda parte: Hora per far) / Orlando di Lassus -- Candid’allhor del ciel / Orlando di Lassus;Madrigals, Italian;5;
4468729;Il secondo libro de madrigalli a cinque voci : Di Orlando di Lassus. Novamente ristampati;Madrigals. voices (5). book 2;"Standomi un giorno ; Mentre fioriv’ amor ; Vostro fui vostro son ; Quel chiaro sol che ; Quando piu ; Euro gentil se ; Volgi cor mio la tua ; Ben si vedra se la nemica mia ; Questi ch’inditio fan ; In dubbio di mio ; In qual parte del ciel ; Io son si stanco sotto il grave peso ; Candid’allhor del ciel sces’angioletta";Lasso, Orlando di;1532-1594;"Barré, Antonio ; Vidue, Hettor ; Animuccia, Paolo ; Scotto (Firm) [publisher]";1573;Italy;"In Vinegia ; Venice";appresso Girolamo Scotto;"Collection of madrigals for five voices (SATB5). The first work is a Canzona ; Title from Quinto part book title page ; With table of contents ; Transcribed title from Quinto part book: QVINTO / DI ORLANDO DI LASSVS / IL SECONDO LIBRO DE / MADRIGALLI A CINQVE VOCI, / Nuouamente ristampati. / IN VINEGIA, / APPRESSO GIROLAMO SCOTTO, / MLDXXIII ; Copy at D.20.b. Qvinto: 12 leaves ([1], 2-23, [24]); paper dimensions: 207 x 150 mm";"Stadomi vn giorno solo alla fenestra (seconda parte: Indi per alto mar vidi vna nave; terza parte: In vn boschetto nouo i rami santi; quarta parte: Chiara fontana in quel medesmo bosco; quinta parte: Una strania fenice ambe due l’ale; sesta parte: Al fin vid’io per entro i fiori l’herba) -- Mentre fioriu’amor l’alta mia speme (seconda parte: Cosi aspettando da te ingrat’andai) -- Vostro fui vostro son & saro vostro -- Quel chiaro sol che tragge indi lontano (seconda parte: Che se la vers’ond’a noi mena il giorno) -- Quando piu v’am’ogn’hor piu bella sete (seconda parte: Nasca in me dunqu’ogn’hor nuouo desio) -- Evro gentil se d’amoroso ardore (seconda parte: Et in sembiante riuerente e humile) -- Volgi cor mio la tua speranza homai (seconda parte: Et a noi restara fra sdegni et ire) -- Ben si vedrà se la nemica mia / Hector Vidue -- Questi ch’inditio fan del mio tormento -- [In dubbio di mio stat’hor piange] hor canto / Paulo Animuccia -- In qual parte del ciel in qual idea (secunda parte: Per diuina bellezza indarno mira) -- Io son si stanco sotto il graue peso (seconda parte: Hora per far le mie dolcezz’amare) -- Candida all’hor dal ciel sces’angioletta";;5;
4468730;Di Orlando Lasso ... Libro quarto de Madrigali a Cinque Voci, da lui Nouamente in Germania composti, etc. <Canto. - Alto. - Tenore. - Basso. - Quinto.> [Parts.];Madrigals;;Lasso, Orlando di;1532-1594;;1567;Italy;Venetia;Appresso di Antonio Gardano;This work contains compositions by Lasso, G. Lochemburgo, G. D. di Nola, F. Rosselli and C. Porta;;;5;
4468731;Di Orlado [sic] Lasso ... Il Quarto Libro de Madrigali à Cinque Voci, Nouamente ... ristampati. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.);Madrigals;;Lasso, Orlando di;1532-1594;;1593;Italy;Venetia;Appresso Angelo Gardano;;;;5;
4468732;Madrigali nouamente composti a cinque uoci, etc. Cantus. (Altus.) (Tenor.) (Bassus.) (Quinta Vox.);Madrigals;;Lasso, Orlando di;1532-1594;;1585;Germany (East);Noribergæ;In officina typographica Catharinæ Gerlachiæ;The Tenor is imperfect, wanting sheet A;;;5;
4468733;Madrigali: a Quattro, Cinque et Sei Voci, novamente composti, etc. Tenor;Madrigals;;Lasso, Orlando di;1532-1594;;1587;Germany (East);Noribergae;In officina typographica Catharinæ Gerlachiæ;;;;"4; 5; 6";
4468787;O Nightingale, so pleasant and so gay. Madrigal for mixed voices. (S. A. A. T. B.) Text from Fleur de dame. Translator unknown ... Arr. and ed. by Don Malin;Meslanges. Le Rossignol plaisant;;Lasso, Orlando di;1532-1594;Malin, Donald Franklin;1961;United States;New York, London;B F Wood Music Co;;;;5;O Nightingale, so pleasant and so gay.
4468794;Trionfo del tempo. Madrigal für zehn Stimmen in zwei Chören. (1584.) <Nach Worten von Francesco Petrarca.> Ins Deutsche übertragen und herausgegeben von Paul Winter. Ital. & Ger;Continuation du mellange. - Passan vostri trionfi;;Lasso, Orlando di;1532-1594;Winter, Paul;1960;Germany (East);Frankfurt;C F Peters;;;;10;Trionfo del tempo.
4468942;Der Bauer will tanzen. [Madrigal.];Newe Teutsche Lieder mit vier Stimmen. Baur was tregst im Sacke;;Lasso, Orlando di;1532-1594;;1912;;;;;;;4;Der Bauer will tanzen.
4468945;I know a young Maiden ... [Madrigal for four voices.] Edited by L. S. Benson. English words by A. Watson;Neue teutsche Lieder. Ich waiss mir ein Meidlein hübsch und fein;;Lasso, Orlando di;1532-1594;;1899;;;;;;;4;I know a young Maiden
4468947;Ich waiss mir ein Meidlein. (I know a fair Maiden.) Madrigal. For four-part chorus of mixed voices a cappella. English text by M. K. ... Edited by Maynard Klein. Ger. & Eng;Newe Teutsche Lieder mit vier Stimmen;;Lasso, Orlando di;1532-1594;Klein, Maynard;1972;United States;New York, London;G Schirmer;;;;4;Ich waiss mir ein Meidlein. I know a fair Maiden.
4468958;Matona, lovely Maiden ... Madrigal for four voices. Words imitated and adapted from the original Italian by W. A. Barrett;Libro de villanelle, moresche, et altre canzoni. Matona mia cara;;Lasso, Orlando di;1532-1594;;1885;;;;;;;4;Matona, lovely Maiden
4468960;Matona, dearest Maiden. Madrigal for four voices. Words by A. J. Foxwell;Libro de villanelle, moresche, et altre canzoni. Matona mia cara;;Lasso, Orlando di;1532-1594;;1897;;;;;;;4;Matona, dearest Maiden.
4468961;Matona, dearest Maiden. Madrigal for four voices. [A. T. T. B. Words by] A. J. Foxwell;Libro de villanelle, moresche, et altre canzoni. Matona mia cara;;Lasso, Orlando di;1532-1594;;1902;England;London;J Curwen & Sons;The Apollo Club, No. 215;;;4;Matona, dearest Maiden.
4468963;Matona, mia cara. Matona, my beloved. Matona, fy anwylyd. Madrigal for T. T. B. B., the English translation by W. S. Gwynn Williams, y Cyfieithiad Cymraeg gan Euros Bowen ... Arr. W. S. Gwynn Williams. Ital., Eng. & Welsh;Libro de Villanelle, Moresche, et altre Canzoni. - Matona, mia cara;;Lasso, Orlando di;1532-1594;Gwynn Williams, W. S. (William Sidney);1949;Wales;Llangollen;Gwynn Publishing Co;;;;4;Matona, mia cara. Matona, my beloved. Matona, fy anwylyd.
4468964;Matona, lovely Maiden ... Madrigal for four mixed voices. Words imitated and adapted from the original Italian by W. A. Barrett. Eng. & Ital;Libro de Villanelle, Moresche, et altre Canzoni. - Matona, mia cara;;Lasso, Orlando di;1532-1594;;1960;England;London;Chappell & Co;;;;4;Matona, lovely Maiden
4468965;Matona, lovely Maiden ... Madrigal for four mixed voices. Words imitated and adapted from the original Italian by W. A. Barrett. Eng. & Ital;Libro de Villanelle, Moresche, et altre Canzoni. - Matona, mia cara;;Lasso, Orlando di;1532-1594;;1963;England;London;Chappell & Co;;;;4;Matona, lovely Maiden
4468966;Matona, lovely Maiden ... Madrigal for four voices. Words imitated from the ... Italian by W. A. Barrett;Libro de villanelle, moresche, et altre canzoni. Matona mia cara;;Lasso, Orlando di;1532-1594;;1885;England;London;Novello & Co;;;;4;Matona, lovely Maiden
4468984;O let me look on thee. Madrigal. [Attributed to Lasso in J. B. T. Weckerlin's 'Échos du Temps passé,' vol. 1.] English words by A. Watson;Chansons. voices (4-6). book 3. Mon cœur se recommande;;Lasso, Orlando di;1532-1594;;1899;;;;;;Polyphonic chansons;"4; 6";O let me look on thee.
4468986;My Heart commends itself to thee. Madrigal for Men's Voices, translation by F. M. Daltry ... Arr. by J. S. Daltry;Mon cœur se recommande à vous;;Lasso, Orlando di;1532-1594;Daltry, Joseph Samuel;1936;United States;Boston, London;B F Wood Music;;;;;Mon cœur se recommande à vous
4468987;My Heart is offered still to you. Madrigal for mixed voices. English version by Alice Parker ... Edited by David Randolph. Eng. & Fr;Mon cœur se recommande à vous;;Lasso, Orlando di;1532-1594;Randolph, David;1956;United States;New York;Lawson-Gould Music Publishers;;;;;Mon cœur se recommande à vous
4469550;Oh! Gentle Bird. (Philomel.) Madrigal;;;Lattre, Claude Jean de;1505-1569;;1864;;;;;;;;Oh! Gentle Bird.
4482315;The First Set of Madrigals of 5. parts : apt both for Viols and Voyces;Madrigals. voices (5). set 1;;Lichfild, Henry;1613;;1613;England;London;Printed for ML ie Matthew Lownes, IB ie John Browne and TS ie Thomas Snodham, the Assignes of W Barley;Parts: Cantus -- Altus -- Tenor -- Bassus -- Quintus;;Madrigals, English;5;
4482317;The First Set of Madrigals of 5 Parts, etc. [A facsimile of the edition of 1613.];Madrigals. voices (5). set 1;;Lichfild, Henry;1613;;1972;Netherlands;"Amsterdam ; New York";"Theatrum orbis terrarum ; Da Capo Press";;;;5;
4482318;Madrigals of five Parts (1613). <Edited by Edmund H. Fellowes. Revised by Thurston Dart.> Associate reviser ... David Scott;Madrigals. voices (5). set 1;;Lichfild, Henry;1613;Scott, David, M. Mus;1970;England;London;Stainer & Bell;;;;5;
4482320;All yee that sleepe in Pleasure. Madrigal for five voices. Edited by W. B. Squire;Madrigals. voices (5). set 1;;Lichfild, Henry;1613;Squire, William Barclay;1892;England;London;Laudy & Co;;;;5;All yee that sleepe in Pleasure.
4482321;All yee that sleepe in Pleasure. Madrigal for five voices ... Edited by W. B. Squire;Madrigals. voices (5). set 1;;Lichfild, Henry;1613;;1899;;;;;;;5;All yee that sleepe in Pleasure.
4482323;I always lov'd to call my Lady ♯Rose'. Madrigal, etc;Madrigals. voices (5). set 1;;Lichfild, Henry;1613;;1906;;;;;;;5;I always loved to call my Lady Rose.
4482324;I always loved to call my Lady Rose.' 'Herzliebchen ist ein Röslein rot, fürwahr!' Fünfstimmiges Madrigal ... Deutscher Text von J. Bernhoff, etc;Madrigals. voices (5). set 1;;Lichfild, Henry;1613;;1906;;;;;;;5;I always loved to call my Lady Rose. Herzliebchen ist ein Röslein rot, fürwahr!
4482326;Injurious Hours.' 'Stunden, ihr trügt.' Fünfstimmiges Madrigal ... Deutscher Text von J. Bernhoff, etc;Madrigals. voices (5). set 1;;Lichfild, Henry;1613;;1906;;;;;;;5;Injurious Hours. Stunden, ihr trügt.
4486173;Fair Citharea. Madrigal for S. S. A. T. T. B. ... No. 23 of 'The Triumphs of Oriana'. Edited by L. Benson;;;Lisley, John;1601;;1908;;;;;;;6;Fair Citharea.
4488648;Primo Libro de Madrigali a Due, Tre, Quattro, Cinque, Sei, e Sette Voci. Con il Basso Continuo per sonar il Clauecimbalo, & altri stromenti simili, etc. Basso. (Basso Continuo.);;;Locatello, Giovanni Battista;1713;;1628;Italy;Venetia;Appresso Alessandro Vincenti;;;;"2; 3; 4; 5; 6; 7";
4495848;Lupacchino a Cinque. Il Primo Libro di Madrigali a Cinque uoci nouamente composto ... nouvamente impresso. Cantus. (Altus.) (Bassus.) (Quintus.);;;Lupacchino, Bernardino;1543-1555;;1547;Italy;Venetia;Apresso di Antonio Gardane;;;;5;
4496513;Secondo Scelta delli Madrigali a cinque voci dello Zascho Luzzaschi. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.);;;Luzzaschi, Luzzasco;1544-1607;;1613;Italy;Napoli;Appresso Gio Giacomo Carlino;;;;5;
4496514;Quinto Libro de' Madrigali a Cinque Voci, etc. Canto. (Tenore.);;;Luzzaschi, Luzzasco;1544-1607;;1595;Italy;Ferrara;Appresso Vittorio Baldini;;;;5;
4497524;Musicalische Streitkränztlein: hiebevorn von den allerfürtrefflichsten vnnd berhümtesten Componistē in Welscher sprach ... mit 6. Stimmen auffgesetzt, vnd dannenhero Triumphi di Dori ... genennet ... mit ... Teutschen Texten ... auffgesetzt, vnd in Druck verfertiget, durch Johannem Lyttichium, etc. Cantus. (Tenor.) (Basis.) (Sexta Vox.);;;Lyttich, Johann;1581-1611;;1612;Germany (East);Nürnberg;Gedruckt durch A Wagemann, in verlegung D Kauffmanns;This German version of the ♯Trionfo di Dori' does not contain the madrigals in the original by F. Anerio, L. Balbi, L. Bertani, P. E. Bonini, G. Costa, G. Florio, G. G. Gastoldi, R. Giovanelli, L. Leoni, Palestrina, C. Porta, A. Striggio and G. Zerto;;;6;
4503002;Madrigaletti et Napolitane a Sei Voci ... Nouamente composte, & dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.) (Sesto.);;;Macque, Giovanni de;1550-1614;;1581;Italy;Venetia;Angelo Gardano;;;;6;
4503003;Di Giovanni de Macque Il Secondo Libro de Madrigali a Sei Voci, nouamente composti & dati in luce. Quinto;;;Macque, Giovanni de;1550-1614;;1589;Italy;Venetia;Appresso Angelo Gardano;;;;6;
4503004;Di Giovanni de Macque ... Il Terzo Libro de Madrigali à quattro Voci. Alto;;;Macque, Giovanni de;1550-1614;;1610;Italy;Napoli;Nella Stampa di G B Gargano, & L Nucci;;;;4;
4503005;As fair Diana frown'd on him who strived. Madrigal for four Voices ... Scored from the original Part Books, published by N. Yonge in 1588, by G. W. Budd;Non più Diana;;Macque, Giovanni de;1550-1614;"Budd, George William ; Yonge, Nicholas";1843;England;London;Calkin & Budd;;;;4;As fair Diana frown'd on him who strived.
4503006;As fair Diana frown'd on him who strived. Madrigal for four Voices ... Scored from the original Part Books, published by N. Yonge in 1588, by G. W. Budd;Non più Diana;;Macque, Giovanni de;1550-1614;"Budd, George William ; Yonge, Nicholas";1859;England;London;Addison, Hollier & Lucas;;;;4;As fair Diana frown'd on him who strived.
4503527;Madrigali à cinque voci ... Raccolti da Bastiano Magni ... Nouamente stampati. Opera terza. <Canto.>;;;Magni, Benedetto;1574-1637;Magni, Sebastiano;1613;Italy;Venetia;Appresso l'Herede di Angelo Gardano;;;;5;
4505383;Madrigali ... a Sei Voci. Nouamente composti & dati in Luce. Libro Primo. Canto;;;Manenti, Giovanni Piero;1535-1597;;1574;Italy;Venetia;Appresso li Figliuoli di Antonio Gardano;;;;6;
4506412;Di D. Silvio Marazzi, il Primo Libro de' Madrigali a Tre Voci. Nuouamente posti in luce. Canto. (Tenore.) (Basso.);;;Marazzi, Silvio;1570-1580;;1577;Italy;Parma;Appresso Seth Vioto;;;;3;
4507526;Il settimo libro de madrigali a cinque voci;Works, 1975;Madrigals;Marenzio, Luca;1553-1599;"Steele, John ; Marenzio, Luca, book 7";1975;New York (State);New York;Les Éditions renaissantes;"For 5 voices ; Preface in Italian, English, French, and German ; Pl. nos: ER. LM 571 - ER. LM 573 ; No more published";Fascicolo I -- Fascicolo II -- Fascicolo III;Madrigals;5;
4507527;Opera omnia. Ediderunt Bernhard Meier & Ronald Jackson;Collections;;Marenzio, Luca;1553-1599;"Meier, Bernhard ; Ronald, Jackson";1976;United States;Dallas, Tex;American Institute of Musicology;"I. Musica sacra, etc. pp.xvii. 122. 1978 ; II. Motectorum pro festis totius anni. 1585, etc. pp. ix. 131. 1976 ; IV. First and second Books of Madrigals. 1581, 1584. pp. ix. 218. 1978";;;;
4507532;Madrigali a 4 e 5 voci ... Trascrizione dall'originale a cura di Lavinio Virgili;;;Marenzio, Luca;1553-1599;Virgili, Lavinio;1952;Italy;Roma;Edizioni de Santis;;;;"4; 5";
4507533;Madrigali a cinque e a sei voci. Transcritti e riveduti da Federico Mempellio. 1) Credete voi ch'i' viva. 2) Quand io miro le rose. 3) Cruda Amarilli. 4) Donò Cinzia a Damone. 5) Interdette speranze e van desio. 6) Là dove sono i pargoletti amori;;;Marenzio, Luca;1553-1599;Mompellio, Federico;1953;Italy;Milano;Le Chant du monde;;;;"5; 6";
4507534;Ten Madrigals. For mixed voices. Edited by Denis Arnold, etc. Ital;;;Marenzio, Luca;1553-1599;Arnold, Denis;1966;England;London;Oxford University Press;;;;;
