Column1,BL record ID,Title,Standardised title,Other titles,Composer,Composer life dates,Other names,Publication date (standardised),Country of publication,Place of publication,Publisher,Notes,Contents,Subject/genre terms
731,4362533,La gloria musicale,,Tu nascesti di furto Piccioletto ; Se da voi m’allontano cor mio ; Dolci sospiri che tal hora uscite ; Mia bella guerriera ; Vola calda d’amor ; Ahi perche l’uccide te? ; Opra la bella tua candida mano ; O che morte gradita ; Com’esser può mia vita ; Tra le dolcezze e l’ire ; Volete voi mia vita ; Ha l’aura il crin dorato ; Parto da voi ben mio ; Caro Augeletto che battendo ; Quel dolcissimo bacio ; E s’uidi voi cor mio ; Copre Madonna ad arte ; Coppia di donne altera ; Io segue l’orme in vano ; Perche v’allontamate cor mio? ; Sospirò la mia donna dolcemente ; Cara la vita mia,,,"Amadino, Ricciardo [publisher] ; Bevilacqua, Mario, Count [dedicatee] ; Nicoletti, Filippo [editor] ; Giovannelli, Ruggiero ; Croce, Giovanni ; Fiorini, Ippolito ; Isnardi, Paolo ; Belli, Girolamo ; Gastoldi, Giovanni Giacomo ; Fontanelli, Alfonso ; Luzzaschi, Luzzasco ; Belli, Giulio ; Alberti, Innocentio ; Bellasio, Paolo ; Virchi, Paolo ; Marenzio, Luca ; Eremita, Giulio",1592,Italy,Venice,Ricciardo Amadino,"Collection of Italian madrigals in five parts (SATB5) compiled by Filippo Nicoletti. Final piece for six voices ; Title from Alto part book title page ; Transcribed title from Alto part book: ALTO / LA GLORIA MUSICALE / Di diuersi Eccellentissimi Auttori: a cinque Voci. / In Venetia, Appresso Ricciardo Amadino. 1592 ; With table of contents on p. [25] ; Pagination: [ii], 1–17, 20–21 [22–25 illegible or missing] p. (Alto) ; Copy at K.3.h.13. Alto (14 leaves); paper dimensions: 213 x 153 mm",Tu nascesti di furto Piccioletto / Rvggier Giovanelli -- Se da voi m’allontano Cor mio / Gio. Croce -- Dolci sospiri che tal hora uscite / Hippolito Fiorino -- La mia bella guerriera / Paolo Isnardi -- Vola calda d’Amor (Seconda parte: Ahi perche l’vccide te? / Girolamo Belli -- Opra la bella tua candida mano (Seconda parte: O che morte gradita) / Gastoldi -- Com’esser può mia vita / Del Molto Illustre S. Conte Alfonso Fontaneilli -- Tra le dolcezze e l’ire / Lvzzasco Lvzzaschi -- Volete voi mia vita / Filippo Nicoletti -- Ha lavra il crin dorato / Givlio Belli -- Parto da voi ben mio / Innocente Alberti -- Caro Augeleto che battendo / Filippo Nicoletti -- Qvel dolcissimo bacio (Seconda parte: E s’indi vuoi cor mio) / Paolo Brellasio -- Copre mado[n]na ad arte / Paolo Virchi -- L’una tacend’uccide / Lvca Marenzio -- Io seguo l’orme invano / Rvggiero Giovanelli -- Perche u’allo[n]tanate Cor mio? / Givlio Belli -- Sospirò la mia Do[n]na dolcemente / Givlio Belli -- Cara la vita mia / Givlio Heremita,"Madrigals, Italian--16th century"
744,4374002,"Il Primo libro de' madrigali in concerto a 2. 3. 4. voci ... Opera undecima,etc. <Tenore.>",,,Michel' Angelo Grancini,1605-1669,,1646,Italy,Milan,Carlo Camagno ; ad instanza di Gio Battista Bidelli,,,
745,4374019,"Madrigali Concertati a Due, Tre e Quattro voci per cantar, e sonar nel Clauicembalo, Chittarone, o altro simile stromento ... Nouamente composti, & dati in luce,etc. Canto. (Alto.) (Tenore.) (Basso.) (Basso Principale.)",,,Alessandro Grandi,1590-1630,,1615,Italy,Venice,Giacomo Vincenzi,,,
746,4374020,"Madrigali Concertati a Due, Tre, & Quattro, voci per cantar e sonar nel Clauicembalo, Chitarrone, ō altro simile stromento ... Nuouamente ristampati, & corretti ... Libro Secondo. Operaxi. Basso",,,Alessandro Grandi,1590-1630,,1623,Italy,Venice,Alessandro Vincenti,,,
747,4375367,"Songes of sundrie kindes: first, Aires to be sung to the Lute, and Base Violl. Next, Songes of sadnesse, for the Viols and Voyce. Lastly, Madrigalles, for fiue voyces, etc",Songes of sundrie kindes,,Thomas Greaves,1604,,1604,England,London,Iohn Windet,,,
764,4379886,Il Secondo Libro de Madrigali a Cinque Voci ... Nouamente dato in Luce. Opera Sesta. Canto. (Alto.) (Quinto.),,,Antonio Gualtieri,1649,,1613,Italy,Venice,Ære Bartholomei Magni,,,
765,4379900,"Il Primo libro di madrigali a cinque uoci,etc.[Parts.] <Canto. - Alto. - Quinto.>",,,Gioseffo Guami,1540-1611,,1565,Italy,Venice,Antonio Gardano,,,
777,4390772,"Andreas Hammerschmid's Chor-Music, mitv. undvi. Stimmen auff Madrigal Manier, nebenst dem Basso Continuo. Funffter Theil Musicalischer Andachten. Erste (Andere) (Dritte) (Vierdte) (Fünffte) (Continuus, Sechsste und letzte) Stimme",,,Andreas Hammerschmidt,1612-1675,,1652,Germany (East),Leipzig,"Georg Beuthern, Bey Samuel Scheiben zu finden",,,
778,4390797,"Musicalischer Andachten Ander Theill. Das ist Geistliche Madrigalien mit 4. 5. vnd 6. Stimmen, sambt einem General-Bass. Benebenst einer fünffstimmigen Capella so nach beliebung gebraucht oder aussengelassen werden kan,etc.Erste (Dritte) Stimme. (Cantusii(Bassus) zur Capella Geistlicher Madrigalien.)",Musicalischer Andachten Ander Theil,,Andreas Hammerschmidt,1612-1675,,1641,Germany (East),Freiberg,Georg Beuthern,,,
786,4397371,Madrigali à 5. 6. 7. & 8. voci ... Nouamente composti & dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.) (Sesto.),,,Hans Leo Hassler,1564-1612,,1596,Germany (East),Augsburg,Valentin Schönigk,,,
787,4397372,Madrigali à 5. 6. 7. & 8. voci ... Nouamente composti & dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.) (Sesto.),,,Hans Leo Hassler,1564-1612,,1596,Germany (East),Augsburg,Valentin Schönigk,Another copy of B.92.e. (Tenore.) (Basso.) 2 pt,,
790,4397388,"Neue Teütsche Gesang nach Art der welschen Madrigalien vn̄ Canzonetten, mit 4. 5. 6. vnnd 8. Stimmen,etc.Discant. (Tenor.) (Bass.)",Neue Teütsche Gesang,,Hans Leo Hassler,1564-1612,,1596,Germany (East),Augsburg,Valentin Schönigk,,,
797,4399273,"Musicalische Teutsche Weltliche Gesänge, mit 4. 5. 6. 7. vnd 8. stimmen, nach art der Italianischen Canzonen vnnd Madrigalien, von neuen componiert,etc.Cantus. (Tenor.) (Bassus.)",,,Valentin Haussmann,1560-1614,,1608,Germany (East),Nuremberg,Paul Kauffmanns,,,
805,4408762,Madrigali ... Libro Primo. A Sei Voci. Sesto,,,Giulio Heremita,1550-1600,,1584,Italy,Ferrara,Vittorio Baldini,,,
806,4408763,Di Giulio Heremita ... Il Primo Libro de Madrigali a Sei Voci. Nouamente posti in luce. Canto. (Alto.) (Tenore.) (Basso.),,,Giulio Heremita,1550-1600,,1602,Belgium,Antwerp,Pietro Phalesio,,,
850,4430179,"L'Ottavo libro de madrigali à cinque voci. Nouamente composto, & dato in luce. <Canto.>",,,Antonio Il Verso,1560-1621,,1603,Italy,Venice,Ricciardo Amadino,,,
851,4430180,"Di Antonio il Verso il Decimo Quinto Libro de' Madrigali à Cinque Voci ... Opera Trentesima sesta, etc. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.)",,,Antonio Il Verso,1560-1621,,1619,Italy,Palermo,Giouan Battista Maringo,,,
852,4430442,Di Sigismondo d' India ... Il Primo Libro de Madrigali a v. Voci. Basso. (Quinto.),,,Sigismondo D'India,1582-1629,,1606,Italy,Milan,Agostino Tradato,,,
853,4430443,Libro Primo de Madrigali a Cinque Voci ... Nouamente Ristampato. Basso,,,Sigismondo D'India,1582-1629,,1610,Italy,Venice,"Angelo Gardano, & Fratelli",,,
855,4430445,"Libro Secondo de Madrigali a Cinque Voci ... Nouamente Composti, etc. Basso",,,Sigismondo D'India,1582-1629,,1611,Italy,Venice,"Angelo Gardano, & Fratelli",,,
856,4430446,Di Sigismondo d' India Il Terzo Libro de Madrigali a Cinque Voci. Con il suo Basso continuo da Sonar con diuersi instromenti da corpo à beneplacito; ma necessariamente per gli otto vltimi. Nouamente stampati. Basso. (Basso Continuo.),,,Sigismondo D'India,1582-1629,,1615,Italy,Venice,Stampa del Gardano Bartholomeo Magni,,,
862,4430605,"Di Marc' Antonio Ingegneri Il Primo Libro de Madrigali a Quatro Voci, Nuouamente ... Ristampati. Tenore",,,"Ingegneri, Marco Antonio",,,1578,Italy,Venice,Angelo Gardano,,,
863,4430606,"Il Secondo Libro de' Madrigali di Marc' Antonio Ingegnieri a Quattro voci, con due Arie di canzon Francese per sonare ... Tenore",,,"Ingegneri, Marco Antonio",,,1579,Italy,Venice,Angelo Gardano,,,
864,4430607,"Il Quarto Libro de Madrigali a Cinque Voci di Marc' Antonio Ingegneri; Nouamente composti, & dati in luce. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.)",,,"Ingegneri, Marco Antonio",,,1584,Italy,Venice,Angelo Gardano,,,
869,4431676,Il Secondo Libro de Madrigali a Cinque Voci ... Nouamente Compositi & dati in luce,Madrigals. voices (5). bk. 2,,Paolo Isnardi,1536-1596,,1577,Italy,Venice,Angelo Gardano,,,"Choruses, Secular (Mixed voices, 5 parts), Unaccompanied ; Vocal quintets, Unaccompanied ; Madrigals, Italian"
877,4435409,Il primo libro de i madrigali,Madrigals. libro 1,"Amor perchè tormenti ; Amor non vedi ; Poi ch’ogni spem’ho persa ; Lagrime calde uscian de gli occhi miei ; Chiar’Arno’l dolor mio ; Gite sospir dolenti ; Coppia d’amici a cui ; Bella e gentil signora ; Hor ved’amor che giovanetta donna ; Deh quant’è dolce amor ; Perché madonna io vivo ; Occhi miei lassi mentre ch’io ; Donna si vi spaventa ; Io non ardisco di levar più gli occhi ; Veramente madonna in me l’ardore ; Ridon’i prati e fiori ; Donna s’io vi dicessi ; Beltà si come in ment’io ; Sel’humana natura ; Felici amanti, voi che d’amor lieti ; Vivace amor ; Lagrimando dimostro quanto si dolga ; Cieco fanciul ; Madonna, i vostre basci ; Amanti il vo pur dir ; Se nel mirarvi con dolce contento ; Valli desert’e sole ; Sola la donna mia ; Ne’dolent’occhi’e nell’aspett’appare ; Oyme mort’e’l bel viso",Maistre Jhan,1485-1538,"Bustrone, Girolamo [dedicatee] ; Ercole, II d'Este, Duke of Ferrara, Modena, and Reggio ; Arcadelt, Jacob ; Verdelot, Philippe ; Festa, Costanzo ; Tudual ; Werrecore, Mathias ; Layolle, Francesco de ; Ivo Barry ; Corteccia, Francesco ; Gardane (Firm) [printer]",1541,Italy,Venice,Antonio Gardano,"Collection of madrigals in four parts (SATB) ; Title-page with Antonio Gardano’s printer mark: a lion and a bear facing each other with a banner draped around them the motto ‘CONCORDES VIRTVTE ET NATVRAE MIRACVLIS’ ; With table of contents ('TAVOLA Delli Madrigali. Numero XXX') ; In ‘Donna s’io vi dicessi’, the lyrics do not match the title listed in the table of contents or the title listed in Lewis, Antonio Gardano, p. 278 ; Title from the Tenor part book title page ; Transcribed title page from the Tenor part book: TENOR / IL PRIMO LIBRO DE I MADRIGALI, DI MAISTRE IHAN / Maestro di Capella, dello Eccellentissimo Signor HERCOLE Duca di Ferrara, / & de altri Eccellentissimi Autori. Nouamente posto in luce. / M. D. XXXXI / NON SINE PRIVILEGIO / Excudebat Venetiis, apud Antonium Gardane ; Copy at A.203. Tenor: 16 leaves ([1-3], 4-32 p.); paper dimensions: 149 x 204 mm","Amor perche tormenti, questi miser’amanti in mille modi / Maistre Ihan -- Amor non vedi ou’io son giu[n]t’omai / Maistre Ihan -- Poi ch’ogni spem’ho p[er]sa di mercede p[er] crudelta della nimica mia / Arcadelt -- Lagrime calde vscian de gliocchi miei onde parea ch’vn font’in me s’apprisse / Verdelot -- Chiar’arno’l mio dolore cresc’in me piu che’n te p[er] pioggia, l’onde / Const.Festa -- Gitte sospir dolenti del mio bel arno, alle fiorite riue oue lieta sen viue quella sola cagio[n] di mei tormenti / Arcadelt -- Coppia d’amici a cui di belta ge[n]tilezza e leggiadria par’al mondo giamai no[n] fu ne fia dui che serui vi nacquero / Const.Festa -- Bella [e] gentil signora che co[n] belli occhi mi robast’il core deh prendeui pieta del mio dolore / Tudual -- Hor ved’amor che giouanetta don[n]a tuo regno spreza & del mio mal no[n] cura / Matthias -- Deh quant’e dolc’amor ch’a tant’e noia / Maistre Ihan -- Perche madon[n]’io viuo sol dil vostr’amore brama[n]do semp[re] / Const.Festa -- Occhi miei lassi mentre ch’io vi giro nel bel viso di quella che v’ha morti pregoui fiat’accorti / Layole -- Donna si ve [vi] spauenta, l’horre[n]da e mal composta mia figura / Const.Festa -- Io no[n] ardisco di leuar piu gli occhi i[n] verso don[n]’alcuna / Arcadelt -- Veramente madonna in me l’ardore, tanto no[n] e quante beltad’in voi / Yuo -- Ridon’i prati e fiori, ecco ecc’a pastor risponde che si ricorda di suoi antich’amori / Matthias -- Donna Voi certo il saperesti, & so ch’assai piu cruda mi saresti / Const.Festa -- Belta si come i[n] me[n]t’io t’ho scolpita, sapessi co[n] parole hoggi ritrarte / Layole -- Sel’humana natura vn’altra tale, di voi format’hauesse / Const.Festa -- Felici amanti voi che d’amor lieti godete i dolci frutti / Archadelt -- Viuac’amor, che negl’affani cresce che dolci lacci & quai cathene d’oro son quelle / Arcadelt ; Lagrimando dimostro quanto si dolga con ragion il core, d’esser tradito sotto fede amore / Corteccia -- Cieco fanciul, che sei d’anni si carco, errand fra mortali / Maistre Ihan -- Madonna i vostri basci son dolci si, ma ci vorrebe poi q[ue]l dolce oue nasciamo & io & voi q[ue]l dolce e l’amore / Maistre Ihan -- Amanti il vo pur dir, ch’ognu[n] m’inte[n]da / Corteccia -- Se nel mirarui con dolce contento, talhor bella Costa[n]za ca[n]tar v’odo gioisce e godo / Archadelt -- Valli desert’e sole deserte piaggi’apriche & voi liet’e sonanti & onde salse / Const.Festa -- Sola la donna mia, mi fa viuer contento / Corteccia -- Ne dole[n]t’occh’& nell’aspett’appare, e mia graui martiri / Arcadelt -- Oyme mort’e’l bel viso ch’in parte’l cortenea in dolce fuco / Corteccia","Madrigals, Italian--16th century ; Choruses, Secular (Mixed voices, 4 parts), Unaccompanied--Parts"
889,4440004,"The First Set of Madrigals, of 3. 4. 5. 6. 7. 8. Parts, for Viols and Voices, or for Voices alone, or as you please. Cantus. (Bassus.)",,,Robert Jones,1570-1617,,1607,England,London,Iohn Windet,,,
912,4451223,"The first set of English Madrigalls, to 4. 5. & 6. voyces. Made and newly published by George Kirbye. Cantus. Prim[us]. (Cantus. Secund[us]) (Altus.) (Tenor.) (Bassus.) (Sextus.)",,,George Kirbye,1565-1634,,1597,England,London,Thomas Este,,,
913,4451224,"The first set of English Madrigalls, to 4. 5. & 6. voyces. Made and newly published by George Kirbye. Cantus. Prim[us]. (Cantus. Secund[us]) (Altus.) (Tenor.) (Bassus.) (Sextus.)",,,George Kirbye,1565-1634,,1597,England,London,Thomas Este,Another copy of K.1.e.6,,
937,4463077,Di Scipione Lacorcia Il Terzo Libro de Madrigali a Cinque Voci. Canto. (Alto.) (Tenore.) (Basso.) (Quinto.),,,Scipione Lacorcia,1585-1620,,1620,Italy,Naples,Costantino Vitale,,,
946,4467231,"Canticum Gloriosæ Deiparæ Virginis Mariæ, Sex Vocibus, super varia - ut vocant - Madrigalia, non ita pridem artificiosissimè modulatum, à R. F. Martino Langreder ... Iam verò post immaturum illius obitum typis evulgatum, operâ & studio R. D. Michaelis Hererii, etc. Quinta (Sexta) Vox",,,"Langreder, Martin",,"Hererius, Michael",1602,Italy,Padua,Matthæus Nenninger,,,
948,4468662,La fleur des chansons,,"Chansons ; S’acheminant le lyon quant & l’homme ; Cantiones latinae ; Ne vous soit estrange ; Hélas quel jour ; Ung doulx nenny ; Avec vous mon amour finera ; Madrigali, vilanesche, canzoni francesi, e motetti ; On ne peut le fol amour saouler ; Orsus filles ; Hastez vous de me faire grace ; Petite folle ; Beau le cristal ; Je ne veux rien qu’un baiser ; Un advocat dit à sa femme ; Mon coeur ravi d’amour ; Sur tous regretz ; Susann’un iour ; Rends-moi mon coeur ; Chanter le veux Chanter ; De tout mon coeur ; J’attends le tems ; Vous qui aimez le monde ; Veux-tu ton mal ; Tu le veux bien ; Livre de chansons nouvelles ; Las me fault-il ; Au tems jadis amour s’entre tenoir ; Elle s’en va de moy ; Est-il possible à moy ; Departir est sans department ; Où t’attend ta maistresse ; Puisque fortune ; Rossignol plaisant ; Hélas j’ai sans merci ; Mais qui pourroit ; Si mon gentil Francin sçavoit ; Je crain et me doute bien fort ; Vignon vignon vignette ; Si vous estes m’amie ; Madrigals ; S'io esca vivo ; Hola caron nautonnier infernal",Orlando di Lasso,1532-1594,"Phalèse, Pierre [printer] ; Haeck, Martin [dedicatee] ; Lasso, Orlando di, book 1, A ce matin ; Lasso, Orlando di, book 10, Si par souhait je vous [te] tenoit ; Lasso, Orlando di, book 1, Quand mon mary vient ; Lasso, Orlando di, book 10, Soyons joyeux ; Lasso, Orlando di, book 1, Monsieur l’abbé ; Lasso, Orlando di, book 4, Ardant amour souvent ; Lasso, Orlando di, Si je suis brun ; Lasso, Orlando di, O vin en vigne ; Lasso, Orlando di, Temps passé je soupier ; Lasso, Orlando di, Je l’ayme bien ; Lasso, Orlando di, book 1, Fleur de quinze ans ; Lasso, Orlando di, Madonna mia pietà ; Lasso, Orlando di, Tu sai madonna mia ; Lasso, Orlando di, No giorno t’haggio havere ; Lasso, Orlando di, Cortesia voi donne predicate ; Lasso, Orlando di, Tu traditora ; Lasso, Orlando di, Sto core mio se fosse di diamante ; Lasso, Orlando di, book 1, Si vous n’estes en bon point ; Lasso, Orlando di, book 1, Vray amy ; Lasso, Orlando di, Vray dieu disoit une fillette ; Lasso, Orlando di, book 1, Fuyons tous d'amour le jeu ; Lasso, Orlando di, book 18, Il esteoit une religieuse ; Lasso, Orlando di, book 1, Temps peut bien ; Lasso, Orlando di, book 18, En un lieu ; Lasso, Orlando di, book 1, Mes pas semés ; Lasso, Orlando di, book 1, Si froid et chault ; Lasso, Orlando di, book 1, Bon jour mon coeur ; Lasso, Orlando di, book 1, Margot labouréz ; Lasso, Orlando di, book 1, En m’oyant chanter ; Lasso, Orlando di, book 1, Ce faux amour ; Lasso, Orlando di, Las voulez-vous ; Lasso, Orlando di, book 3, Susanne ung jour ; Lasso, Orlando di, book 3, Mon cœur se recommande ; Lasso, Orlando di, book 2, Vive sera et toujours perdurable ; Rore, Cipriano de ; Lasso, Orlando di, book 4, Terre les eaux ; Lasso, Orlando di, book 18, J’endure un tourment ; Lasso, Orlando di, book 4, Et d'où venez vous ; Lasso, Orlando di, O foible esprit ; Lasso, Orlando di, book 3, Ardant amour souvent ; Lasso, Orlando di, book 18, Comme la tourterelle ; Lasso, Orlando di, (1584), Hor vi riconfortate",1596,Belgium,Antwerp,Pietro Phalesio,"A collection consisting of 44 four-part chansons, 29 five-part chansons (four in two sections), six six-part chansons (one in two sections) and one eight-part chanson ; Title from the Superius part book title page ; Transcribed title page from Superius part book: LA FLEVR / DES CHANSONS / D’ORLANDE DE LASSVS / A QVATRE, CINQ, SIX ET HVIT / PARTIES. / Maistre de la Chapelle du Sereniss. Duc de Bauiere. / SVPERIVS / LAVDATE DOMINVM IN PSALTERIO ET CYTHARA / EN ANVERS. / De l’Imprimerie de Pierre Phalese Libraire Iuré. / M. D. XCVI ; Copy at A.337.c. Superius: 44 leaves ([1], 2-11, [12], 13-44 f.); paper dimensions: 151 x 194 mm","A ce matin ce seroit bo[n]ne est reine -- Si par souhaite ie te tenoie -- Qvand mo[n] mary vient de dehors -- Soyons ioyeux sur la plaisa[n]t verdure -- Maistre Robbin & mo[n]sieur son varlet -- Ardant amour souue[n]t me fait instance -- S’acheminant le lyon quant & l’ho[m]me -- Si ie suis brun & ma couleur trop noire -- Ne vous soit estrange, si ie suis noir -- O vin en vigne gentil ioly vin en vigne -- Helas quel jour seray-ie à mon vouloir -- Un doux nenny auec vn doux sourire -- Le temps passé ie soupier -- Avecques vous mo[n] amour finera -- Ie l’ayme bien & l’aymeray -- On ne peut le fol amour saouler -- Fleur de quinz’ ans -- Madonna mia pietà -- Tv sai madonna mia -- No giorno t’hagg’hauere -- La cortesia voi donne predicate -- Tv traditora m’hai puost’a sto core -- Sto core mio se fosse di diamante -- Si vous n’estes en bo[n] point -- Le vray amy ne s’estonne de rien -- Orsus filles que l’o[n] me donne -- Vray dieu disoit une fillette -- Fvyons tous d’amour le jeu -- Hastez vous de me faire grace -- Petite folle estez vous pas co[n]tente -- Si i’estoy ou mo[n] ame desire -- Le te[m]ps peut bie[n] vn beau teint effacer -- En vn lieu ou l’on ne voit goutte -- Mes pas semez & loings -- Beau le cristal beau l’albastr’& l’iuoire -- Si pour moy auez du souci -- Ie ne veux tie[n] -- Si froid & chaut -- Bon iour mo[n] coeur -- Margot labourez les vignes -- En m’oyant chanter quelque fois -- Ce faux amour d’arc & de fleches s’arme -- Las voules vous qu’vne personne cha[n]te -- L’ho[m]me de bie[n] dit à son ame -- -- Fin des chansons a 4 parties. -- Svsanne vn iour d’amour sollicitée / Ciprianus de Rore -- Mon coeur se recomma[n]de à vous -- Viue sera & rousiours perdurable -- Mon coeur raui d’amour fort variable -- Svr tous regretz le mien plus piteux pleure -- Svsann’vn iour d’amour sollicitée -- Cyprianus de Rore -- Rends moy mo[n] coeur -- Noblesse gist au coeur du vertueu ; La terre & eaux va beuuant -- Chanter le veux Cha[n]ter -- De tout mo[n] coeur i’ayme la Marguerite -- I’atens le tems ayant ferm’esperance -- I’endur’vn tourme[n]t des tourme[n]s le pire -- Mais à quel propos dire n’y escrire -- Vous qui aimez le monde -- Et d’ou venez vous madame A5 -- Pvis qu’en mo[n] mal tu me peux secourir -- Tv le veux bie[n] mo[n] ame en est contente -- O foible esprit chargé de tant de peines -- O ieun’archer qui n’as poi[n]t d’ieux -- Las me faut il ta[n]t de mal supporter -- Av tems jadis amour s’entre tenoir -- Elle s’en va de moy la mieux aymée -- Est il possible à moy pouuoir trouuer -- Le departir est sans department -- Comme la Tourterelle Languit iusque à la mort -- Ov t’atend ta maitresse Amy ne dis doux port -- Pvis que fortune a sur moy entrepris A5 -- Le rossignol plaisa[n]t & gratieux -- Helas j’ay sans mercy Le soucy & la pensée -- Fin de chansons a 5. parties. -- Mais qui pourroit estre celuy -- Si mon gentil Francin sçauoit -- Vignon vignon vignon vignon vignette -- Si vous estes mamie -- Hor vi riconfortate -- S’io esca -- Hola aron nautonnier infernal Dialogue à 8",Polyphonic chansons
951,4468695,"Sex Cantiones Latinæ Quatuor, adiuncto Dialogo Octo Vocum. Sechs Teutsche Lieder mit vier, sampt einem Dialogo mit 8. stimmen. Six chansons Francoises nouuelles a quatre voix, auecq vn Dialogue a huict. Sei Madrigali nuoui a quatro, con vn Dialogo a otto voci. Summa diligentia compositæ ... & nunc primum in lucem æditæ, etc. Tenor",,,Orlando di Lasso,1532-1594,,1573,Germany (East),Munich,Adamus Berg,,,Polyphonic chansons
952,4468724,Il primo libro di madrigali a quatro voci,Madrigals. voices (4). book 1,,Orlando di Lasso,1532-1594,"Gardane, Antonio [printer] ; Lockenburg, Johannes [composer] ; Nola, Gian Domenico del Giovane da [composer] ; Porta, Costanzo [composer] ; Roussel, François [composer]",1565,Italy,Venice,Antonio Gardano,"Collection of Italian madrigals in four parts (CATB) ; With table of contents at the end ; Transcribed title page from canto part book: DI ORLANDO DI LASSVS / IL PRIMO LIBRO DI MADRIGALI / A Quatro uoci Nouamente per Antonio Gardano Ristampati. / A QVATRO VOCI / In Venetia Appresso di / Antonio Gardano. / 1565 ; Copy at A.338.f. Digitised score at http://purl.org/rism/BI/1565/14 ; Copy at A.338.f. Canto (16 leaves) Alto (16 leaves) Tenore (16 leaves) Basso (16 leaves); original foliation: Canto: [i], 1-30, [31] Alto: [i], 1-30, [31] Tenore: [i], 1-30, [31] Basso: [i], 1-30, [31]; paper dimensions: 150 x 202 mm",Per pianto la mia carne si distilla / Orlando di Lassus -- Vivo sol di speranza rimembrando / Orlando di Lassus -- Giovane donna i vaghi’e dolc’accenti -- Queste non son piu lagrime / Orlando di Lassus -- Canzon d’Orlando. Del freddo Rheno alla sinistra riva (seconda stanza: Ch’il credera perche lo dica’il sole; terza stanza: Rottava et e pur ver di puro foco; quarta stanza: Si fe cristallo il fium’e’n tale stato; quinta stanza: Et io qual fui restai senza la voce; sesta & ultima stanza: Hor su la nuda terr’hora su l’herbe) / Orlando -- Appariran per me le stell’in cielo / Orlandi di Lassus -- Non vi vieto per questo ch’avrei torto / Orlando di Lassus -- Donna s’amor e’in voi summo desio / Giovanni Lochemburgo -- Quanto’il mio duol senza conforto sia / Orlando di Lassus -- Quel si grave dolore ch’io senti nell’accerba mia partita / Giovanni Lochemburgo -- Se vi fur’ & vi son’ & saran sempre (risposta: S’in voi puo dirsi’haver posto cortesi) / Giovanni Lochemburgo -- Donna gentil l’alma bellezza vostra / Giovanni Lochemburgo -- Quando da voi madonna son lontano / Giovan Dominico de Nola -- Perch’io veggio e mi spiace / Orlando di Lassus -- Vatene lieta homai coppia d’amici / Orlando di Lassus ; Canzon d’incerto. Sovra una verde riva (seconda stanza: Apri l’uscio per tempo; terza stanza A 3: Valli vicini e rupi; quarta stanza: Nascan herbette’et fiori; quinta stanza: In questo di giocondo; sesta stanza: Mentre per questi monti andran le fier’errando; ultima stanza: Per cortesia canzon tu pregherai) / [Anon] -- Canzon. Giovane donna sott’un verde lauro (seconda stanza: Allhor saran i miei pensier a riva; terza stanza: Ma perche vola’l tempo e fuggon glianni; quarta stanza: Non fur giamai veduti; quinta stanza: I temo di cangiar pria volt’e chiome; sesta & ultima stanza: Dentro pur foc’et fuor candida neve) / Francesco Rosselli -- Occhi piangete accompagnate’il core / Orlando di Lassus -- Se ben l’empia mia sorte / Orlando di Lassus -- O del mio navigar fidata scorta / Costantio Porta,"Madrigals, Italian"
