,Madrigal,Composer single madrigal,Voices,Keywords,Composer collection,Keywords_en
151,"Tu m' uccidi, o crudele",Carlo Gesualdo,5,"['m', 'uccidi', 'crudele']",,"['kill', 'cruel', 'one']"
152,Long live fair Oriana.,Ellis Gibbons,5,"['long', 'live', 'fair', 'oriana']",,"['long', 'live', 'fair', 'oriana']"
153,Round about her Chariot.,Ellis Gibbons,6,"['round', 'chariot']",,"['round', 'chariot']"
154,Ah! dear Heart,Orlando Gibbons,5,"['ah', 'dear', 'heart']",,"['ah', 'dear', 'heart']"
155,Dainty fine bird.,Orlando Gibbons,,"['dainty', 'fine', 'bird']",,"['dainty', 'fine', 'bird']"
156,Fair is the Rose.,Orlando Gibbons,5,"['fair', 'rose']",,"['fair', 'rose']"
157,I feign not Friendship where I hate,Orlando Gibbons,5,"['feign', 'friendship', 'hate']",,"['feign', 'friendship', 'hate']"
158,I tremble not at Noise of War.,Orlando Gibbons,5,"['tremble', 'noise']",,"['tremble', 'noise']"
159,I weigh not Fortune's Frown.,Orlando Gibbons,,"['weigh', 'fortune', 'frown']",,"['weigh', 'fortune', 'frown']"
160,O! that the learned Poets.,Orlando Gibbons,,"['learned', 'poets']",,"['learned', 'poets']"
161,O that the learned poets.,Orlando Gibbons,5,"['learned', 'poets']",,"['learned', 'poets']"
162,O that the learned Poets.,Orlando Gibbons,5,"['learned', 'poets']",,"['learned', 'poets']"
163,The Silver Swan.,Orlando Gibbons,,"['silver', 'swan']",,"['silver', 'swan']"
164,"Trust not too much, faire Youth.",Orlando Gibbons,5,"['trust', 'much', 'faire', 'youth']",,"['trust', 'much', 'faire', 'youth']"
165,What is our Life? Was ist das Leben?,Orlando Gibbons,5,"['life?', 'leben?']",,"['life?', 'life?']"
166,Come potrò giamai,Ruggiero Giovannelli,5,"['potrò', 'giamai']",,"['ever', 'able']"
167,"Come away, sweet love.",Thomas Greaves,5,"['away', 'sweet', 'love']",,"['away', 'sweet', 'love']"
168,"Come away, sweet love, and play thee",Thomas Greaves,5,"['away', 'sweet', 'love', 'play', 'thee']",,"['away', 'sweet', 'love', 'play', 'thee']"
169,"Come away, sweet Love, and play thee.",Thomas Greaves,5,"['away', 'sweet', 'love', 'play', 'thee']",,"['away', 'sweet', 'love', 'play', 'thee']"
170,Come away sweet Love and play thee,Thomas Greaves,5,"['away', 'sweet', 'love', 'play', 'thee']",,"['away', 'sweet', 'love', 'play', 'thee']"
171,"Lady, the melting crystal of your eye.",Thomas Greaves,5,"['lady', 'melting', 'crystal', 'eye']",,"['lady', 'melting', 'crystal', 'eye']"
172,Long have the Shepherds sung this Song.,Thomas Greaves,5,"['long', 'shepherds', 'sung', 'song']",,"['long', 'shepherds', 'sung', 'song']"
173,Sweet nymphs that trip along,Thomas Greaves,5,"['sweet', 'nymphs', 'trip', 'along']",,"['sweet', 'nymphs', 'trip', 'along']"
174,Sweet Nymphs that trip along.,Thomas Greaves,5,"['sweet', 'nymphs', 'trip', 'along']",,"['sweet', 'nymphs', 'trip', 'along']"
175,Ojos claros y serenos,Francisco Guerrero,4,"['ojos', 'claros', 'serenos']",,"['clear', 'serene', 'eyes']"
176,"Ach, Fräulein zart",Hans Leo Hassler,4,"['ach', 'fräulein', 'zart']",,"['ah', 'miss', 'tender']"
177,Luce negl' occhi,Hans Leo Hassler,5,"['luce', 'negl', 'occhi']",,"['light', 'eyes']"
178,"Nun fanget an, ein guts Liedlein zu singen.",Hans Leo Hassler,,"['fanget', 'guts', 'liedlein', 'singen']",,"['start', 'singing', 'good', 'song']"
179,Nun fanget an,Hans Leo Hassler,4,['fanget'],,['catch']
180,"When at Dawn, Aurora.",Anthony Holborne,5,"['dawn', 'aurora']",,"['dawn', 'aurora']"
181,"Thus, Bonny-Boots.",John Holmes,5,"['thus', 'bonny', 'boots']",,"['thus', 'bonny', 'boots']"
182,Hark! did ye ever hear so sweet a Singing.,Thomas Hunt,6,"['hark', 'ye', 'ever', 'hear', 'sweet', 'singing']",,"['hark', 'ye', 'ever', 'hear', 'sweet', 'singing']"
183,"Innsbruck, ich muss dich lassen.",Heinrich Isaac,,"['innsbruck', 'lassen']",,"['innsbruck', 'let']"
184,Fair Oriana.,Robert Jones,6,"['fair', 'oriana']",,"['fair', 'oriana']"
185,Bright Phœbus greets most clearly,George Kirbye,6,"['bright', 'phœbus', 'greets', 'clearly']",,"['bright', 'phœbus', 'greets', 'clearly']"
186,"O Nightingale, so pleasant and so gay.",Orlando di Lasso,5,"['nightingale', 'pleasant', 'gay']",,"['nightingale', 'pleasant', 'gay']"
187,Trionfo del tempo.,Orlando di Lasso,10,"['trionfo', 'tempo']",,"['triumph', 'time']"
188,Der Bauer will tanzen.,Orlando di Lasso,4,"['bauer', 'tanzen']",,"['farmer', 'wants', 'dance']"
189,I know a young Maiden,Orlando di Lasso,4,"['know', 'young', 'maiden']",,"['know', 'young', 'maiden']"
190,Ich waiss mir ein Meidlein,Orlando di Lasso,4,"['waiss', 'meidlein']",,"['know', 'girl']"
191,"Matona, lovely Maiden",Orlando di Lasso,4,"['matona', 'lovely', 'maiden']",,"['matona', 'lovely', 'maiden']"
192,"Matona, dearest Maiden.",Orlando di Lasso,4,"['matona', 'dearest', 'maiden']",,"['matona', 'dearest', 'maiden']"
193,"Matona, mia cara",Orlando di Lasso,4,"['matona', 'cara']",,"['matona', 'dear']"
194,O let me look on thee.,Orlando di Lasso,4; 6,"['let', 'look', 'thee']",,"['let', 'look', 'thee']"
195,Mon cœur se recommande à vous,Orlando di Lasso,,"['cœur', 'recommande']",,"['heart', 'recommends']"
196,Oh! Gentle Bird.,Claude Jean de Lattre,,"['oh', 'gentle', 'bird']",,"['oh', 'gentle', 'bird']"
197,All yee that sleepe in Pleasure.,Henry Lichfild,5,"['yee', 'sleepe', 'pleasure']",,"['ye', 'sleep', 'pleasure']"
198,I always loved to call my Lady Rose.,Henry Lichfild,5,"['always', 'loved', 'call', 'lady', 'rose']",,"['always', 'loved', 'call', 'lady', 'rose']"
199,I always loved to call my Lady Rose,Henry Lichfild,5,"['always', 'loved', 'call', 'lady', 'rose']",,"['always', 'loved', 'call', 'lady', 'rose']"
200,Injurious Hours,Henry Lichfild,5,"['injurious', 'hours']",,"['injurious', 'hours']"
201,Fair Citharea.,John Lisley,6,"['fair', 'citharea']",,"['fair', 'citharea']"
202,As fair Diana frown'd on him who strived.,Giovanni de Macque,4,"['fair', 'diana', ""frown'd"", 'strived']",,"['fair', 'diana', ""frown'd"", 'strived']"
203,Nel più fiorito Aprile,Luca Marenzio,6,"['fiorito', 'aprile']",,"['flowery', 'april']"
204,Nel più fiorito Aprile.,Luca Marenzio,6,"['fiorito', 'aprile']",,"['flowery', 'april']"
205,Cedan l'antiche.,Luca Marenzio,6,"['cedan', ""l'antiche""]",,"['cedan', 'ancient']"
206,Crudel perchè,Luca Marenzio,6,"['crudel', 'perchè']",,['cruel']
207,Dice la mia bellissima Licori,Luca Marenzio,6,"['dice', 'bellissima', 'licori']",,"['says', 'beautiful', 'licori']"
208,Come fuggir.,Luca Marenzio,6,['fuggir'],,['escape']
209,Leggiadre ninfe.,Luca Marenzio,6,"['leggiadre', 'ninfe']",,"['graceful', 'nymphs']"
210,Filli volgendo i lumi,Luca Marenzio,5,"['filli', 'volgendo', 'lumi']",,"['filli', 'turning', 'lights']"
211, Dura legge d'amor,Luca Marenzio,5,"['dura', 'legge', ""d'amor""]",,"['harsh', 'law', 'love']"
212,Spring returns.,Luca Marenzio,5,"['spring', 'returns']",,"['spring', 'returns']"
213,The Shepherd's Pipes.,Luca Marenzio,5,"['shepherd', 'pipes']",,"['shepherd', 'pipes']"
214,Caro dolce mio ben,Luca Marenzio,5,"['caro', 'dolce', 'ben']",,"['dear', 'sweet', 'love']"
215,"Lilies white, crimson Roses.",Luca Marenzio,5,"['lilies', 'white', 'crimson', 'roses']",,"['lilies', 'white', 'crimson', 'roses']"
216,Scaldava il sol,Luca Marenzio,5,"['scaldava', 'sol']",,"['warmed', 'sun']"
217,Stay limpit Stream.,Luca Marenzio,5,"['stay', 'limpit', 'stream']",,"['stay', 'limpit', 'stream']"
218,Scendi dal Paradiso,Luca Marenzio,5,"['scendi', 'paradiso']",,['paradise']
219,"Deh, Tirsi anima mia",Luca Marenzio,5,"['deh', 'tirsi', 'anima']",,"['ah', 'tirsi', 'soul']"
220,Cruda Amarilli.,Luca Marenzio,5,"['cruda', 'amarilli']",,"['raw', 'amarilli']"
221,"Ahi, dispietata morte!",Luca Marenzio,4,"['ahi', 'dispietata', 'morte']",,"['alas', 'pitiless', 'death']"
222,Dissi a l'amata mia lucida stella.,Luca Marenzio,4,"['dissi', ""l'amata"", 'lucida', 'stella']",,"['said', 'beloved', 'shiny', 'star']"
223,Dissi a l'amata mia lucida stella,Luca Marenzio,4,"['dissi', ""l'amata"", 'lucida', 'stella']",,"['said', 'beloved', 'shiny', 'star']"
224,Ma per me lasso,Luca Marenzio,4,['lasso'],,['lax']
225,Madonna sua merce per una sera.,Luca Marenzio,4,"['madonna', 'merce']",,"['madonna', 'goods', 'one', 'evening']"
226,Veggo dolce mio bene.,Luca Marenzio,4,"['veggo', 'dolce', 'bene']",,"['see', 'sweet', 'love']"
227,The Nymphs and Shepherds danced.,George Marson,5,"['nymphs', 'shepherds', 'danced']",,"['nymphs', 'shepherds', 'danced']"
228,Madonna poich' uccider mi volete,Claudio Merulo,4,"['madonna', 'poich', 'uccider', 'volete']",,"['madonna', 'since', 'want', 'kill']"
229,Fair Orian.,John Milton,6,"['fair', 'orian']",,"['fair', 'orian']"
230,"O, had I Wings like to a Dove.",John Milton,5,"['wings', 'like']",,"['wings', 'like']"
231,Lamento d'Ariana.,Claudio Monteverdi,5,"['lamento', ""d'ariana""]",,"['regret', ""d'ariana""]"
232,Lamento d'Arianna,Claudio Monteverdi,5,"['lamento', ""d'arianna""]",,"['lament', ""d'arianna""]"
233,Lamento d'Arianna.,Claudio Monteverdi,5,"['lamento', ""d'arianna""]",,"['lament', ""d'arianna""]"
234,Era l'anima mia,Claudio Monteverdi,,"[""l'anima""]",,['soul']
235,T'amo mia vita,Claudio Monteverdi,5,"[""t'amo"", 'vita']",,"['love', 'life']"
