,name,wikidata,dates,gender,citizenship,birthplace,birth country,geographical coordinates birthplace,place of death,country of death,geographical coordinates place of death,language,instrument
195,Biagio Pesciolini,http://www.wikidata.org/entity/Q101439336,1610,male,,Prato,Italy,Point(11.096561111 43.880813888),,,,,
196,Santi Orlandi,http://www.wikidata.org/entity/Q102035932,1619,male,,,,,,,,,
197,Ludwig Senfl,http://www.wikidata.org/entity/Q110133949,1490-1543,,,,,,,,,,
198,Johann Hermann Schein,http://www.wikidata.org/entity/Q57827,1586-1630,male,Germany,Grünhain,Germany,Point(12.808888888 50.578611111),Leipzig,Germany,Point(12.375 51.34),German,
199,Adrian Willaert,http://www.wikidata.org/entity/Q312615,1490-1562,male,County of Flanders,Rumbeke,Belgium,Point(3.1539 50.9333),Venice,Italy,Point(12.331944444 45.439722222),Dutch,
200,Barbara Strozzi,http://www.wikidata.org/entity/Q232235,1619-1677,female,Republic of Venice,Venice,Italy,Point(12.331944444 45.439722222),Padua,Italy,Point(11.877777777 45.406388888),"['Italian', 'Venetian']",lute
201,Alessandro Stradella,http://www.wikidata.org/entity/Q314765,1639-1682,male,Papal States,Bologna,Italy,Point(11.342777777 44.493888888),Genoa,Italy,Point(8.933983333 44.407186111),Italian,"['violin', 'voice']"
202,Heinrich Schütz,http://www.wikidata.org/entity/Q153643,1585-1672,male,Germany,Bad Köstritz,Germany,Point(12.009722222 50.930555555),Dresden,Germany,Point(13.74 51.05),German,organ
203,Orazio Vecchi,http://www.wikidata.org/entity/Q84146,1550-1605,male,,Modena,Italy,Point(10.92572 44.64582),Modena,Italy,Point(10.92572 44.64582),Italian,
204,Gioseffo Zarlino,http://www.wikidata.org/entity/Q365805,1517-1590,male,Republic of Venice,Chioggia,Italy,Point(12.27854 45.21891),Venice,Italy,Point(12.331944444 45.439722222),Italian,organ
205,Vincenzo Ugolini,http://www.wikidata.org/entity/Q330488,1570-1638,male,,Perugia,Italy,Point(12.3888 43.1121),Rome,Italy,Point(12.482777777 41.893055555),,violin
206,Jan Pieterszoon Sweelinck,http://www.wikidata.org/entity/Q110294,1562-1621,male,Netherlands,Deventer,Netherlands,Point(6.2 52.25),Amsterdam,Netherlands,Point(4.9 52.383333333),Dutch,organ
207,Alessandro Scarlatti,http://www.wikidata.org/entity/Q183087,1660-1725,male,,Palermo,Italy,Point(13.361261944 38.115658055),Naples,Italy,Point(14.25 40.833333333),Italian,harpsichord
208,Jan Tollius,http://www.wikidata.org/entity/Q284127,1550-1603,male,Denmark,Amersfoort,Netherlands,Point(5.38 52.15),Copenhagen,Denmark,Point(12.568888888 55.676111111),,voice
209,John Ward,http://www.wikidata.org/entity/Q447968,1571-1638,male,United Kingdom of Great Britain and Ireland,Canterbury,United Kingdom,Point(1.0775 51.278333333),Essex,United Kingdom,Point(0.583333333 51.75),,
210,Giaches de Wert,http://www.wikidata.org/entity/Q591939,1535-1596,male,Habsburg Netherlands,Weert,Belgium,Point(4.1931 51.1019),Mantua,Italy,Point(10.791111111 45.156388888),Dutch,
211,Bartolomeo Tromboncino,http://www.wikidata.org/entity/Q809518,1470-1534,male,Republic of Venice,Verona,Italy,Point(10.992777777 45.438611111),Venice,Italy,Point(12.331944444 45.439722222),,trombone
212,Johann Stadlmayr,http://www.wikidata.org/entity/Q472907,1575-1648,male,Germany,Freising,Germany,Point(11.748888888 48.402777777),Innsbruck,Austria,Point(11.393333333 47.268333333),German,
213,Philippe Verdelot,http://www.wikidata.org/entity/Q714219,1480-1530,male,France,Verdelot,France,Point(3.365833333 48.875),Florence,Italy,Point(11.254166666 43.771388888),French,
214,Thomas Weelkes,http://www.wikidata.org/entity/Q553908,1575-1623,male,United Kingdom of Great Britain and Ireland,Sussex,United Kingdom,Point(-0.141372694 50.947102699),London,United Kingdom,Point(-0.1275 51.507222222),English,organ
215,John Wilbye,http://www.wikidata.org/entity/Q682089,1574-1638,male,Kingdom of England,Diss,United Kingdom,Point(1.1079 52.3812),Colchester,United Kingdom,Point(0.903611 51.888611),English,
216,Nicola Vicentino,http://www.wikidata.org/entity/Q944773,1511-1576,male,"['Republic of Venice', 'Holy Roman Empire']",Vicenza,Italy,Point(11.55 45.55),Milan,Italy,Point(9.19 45.466944444),Italian,
217,Cornelis Schuyt,http://www.wikidata.org/entity/Q749364,1557-1616,male,Netherlands,Leiden,Netherlands,Point(4.49 52.16),Leiden,Netherlands,Point(4.49 52.16),Dutch,"['organ', 'pipe organ']"
218,Francesco Turini,http://www.wikidata.org/entity/Q1441256,1589-1656,male,,Prague,Czech Republic,Point(14.421388888 50.0875),Brescia,Italy,Point(10.220280555 45.538888888),Italian,pipe organ
219,Thomas Tomkins,http://www.wikidata.org/entity/Q968698,1572-1656,male,"['Wales', 'United Kingdom of Great Britain and Ireland']",St Davids,United Kingdom,Point(-5.268611111 51.882222222),Worcestershire,United Kingdom,Point(-2.166666666 52.2),English,organ
220,Alessandro Striggio,http://www.wikidata.org/entity/Q1377115,1536-1592,male,"['Grand Duchy of Tuscany', 'Duchy of Florence']",Mantua,Italy,Point(10.791111111 45.156388888),Mantua,Italy,Point(10.791111111 45.156388888),,
221,Francesco Soriano,http://www.wikidata.org/entity/Q1376058,1548-1621,male,Papal States,Soriano nel Cimino,Italy,Point(12.234166666 42.419444444),Rome,Italy,Point(12.482777777 41.893055555),,
222,Johannes Schultz,http://www.wikidata.org/entity/Q1406864,1582-1653,male,Germany,Lüneburg,Germany,Point(10.414444444 53.2525),Dannenberg (Elbe),Germany,Point(11.1009 53.0986),German,
223,Thomas Whythorne,http://www.wikidata.org/entity/Q2124600,1528-1596,male,United Kingdom,,,,,,,English,
224,Ascanio Trombetti,http://www.wikidata.org/entity/Q2866349,1544-1590,male,,Bologna,Italy,Point(11.342777777 44.493888888),,,,Italian,
225,Hubert Waelrant,http://www.wikidata.org/entity/Q2664749,1516-1595,male,Southern Netherlands,,,,Antwerp,Belgium,Point(4.399722222 51.221111111),,
226,Annibale Zoilo,http://www.wikidata.org/entity/Q2920312,1537-1592,male,Papal States,Rome,Italy,Point(12.482777777 41.893055555),Loreto,Italy,Point(13.607430555 43.4403),,
227,Filippo Vitali,http://www.wikidata.org/entity/Q3071924,1590-1653,male,,Florence,Italy,Point(11.254166666 43.771388888),Florence,Italy,Point(11.254166666 43.771388888),,voice
228,Edmund Turges,http://www.wikidata.org/entity/Q3719486,1450-1507,male,United Kingdom of Great Britain and Ireland,Petworth,United Kingdom,Point(-0.609 50.986),,,,,
229,Paolo Virchi,http://www.wikidata.org/entity/Q3894585,1551-1610,male,,Brescia,Italy,Point(10.220280555 45.538888888),,,,,
230,Pietro Vinci,http://www.wikidata.org/entity/Q3388207,1525-1584,male,,Nicosia,Italy,Point(14.4 37.75),Nicosia,Italy,Point(14.4 37.75),Italian,
231,Claudio Veggio,http://www.wikidata.org/entity/Q5129425,1510-1543,male,,Piacenza,Italy,Point(9.7 45.05),,,,,
232,Girolamo Scotto,http://www.wikidata.org/entity/Q5564788,1505-1572,male,Republic of Venice,Milan,Italy,Point(9.19 45.466944444),Venice,Italy,Point(12.331944444 45.439722222),,
233,Pietro Taglia,http://www.wikidata.org/entity/Q7193041,1555-65,male,,,,,,,,,
234,Stefano Venturi del Nibbio,http://www.wikidata.org/entity/Q7606503,1592-1600,male,,,,,,,,,
235,Antonio Francesco Tenaglia,http://www.wikidata.org/entity/Q10954739,1612-1672,male,,Florence,Italy,Point(11.254166666 43.771388888),Rome,Italy,Point(12.482777777 41.893055555),,organ
236,Thomas Vautor,http://www.wikidata.org/entity/Q11951781,1600-1620,male,Kingdom of England,,,,,,,,
237,Orfeo Vecchi,http://www.wikidata.org/entity/Q11939478,1551-1603,male,,,,,,,,,
238,Bartolomeo Spontone,http://www.wikidata.org/entity/Q21001517,1530-1592,male,,,,,,,,,
239,Melchior Schramm,http://www.wikidata.org/entity/Q24049612,1553-1619,male,,Ziębice,Poland,Point(17.044444444 50.6),Offenburg,Germany,Point(7.940833333 48.470833333),,organ
240,Camillo Zanotti,http://www.wikidata.org/entity/Q84562722,1545-1591,male,,,,,,,,,
241,Agostino Soderini,http://www.wikidata.org/entity/Q77535913,1575-1607,,,,,,,,,,
242,Flaminio Tresti,http://www.wikidata.org/entity/Q110222853,1560-1613,,,,,,,,,,
243,Cesare Zoilo,http://www.wikidata.org/entity/Q109265169,1584-1622,male,Papal States,,,,Rome,Italy,Point(12.482777777 41.893055555),,
244,Tielman Susato,http://www.wikidata.org/entity/Q547783,1500-1570,male,Habsburg Netherlands,Soest,Germany,Point(8.109166666 51.571111111),Stockholm,Sweden,Point(18.068611111 59.329444444),,
